Title,Platform,Genres,Release_date,Publisher Name,Age Rating,Metascore,Description
DRAGON QUEST XI: Echoes of an Elusive Age,"PC, PlayStation 4, Xbox One, Nintendo Switch, Nintendo 3DS",RPG,"Jul 29, 2017",Square Enix,13+ Teen,91,"DRAGON QUEST® XI: Echoes of an Elusive Age™ follows the journey of a hunted Hero who must uncover the mystery of his fate with the aid of a charismatic cast of supporting characters. They embark on a quest taking them across continents and over vast oceans as they learn of an ominous threat facing the world.
DQ XI brings a massive, gorgeous world to life in a style that blends stylistic cel-shading with photorealistic detail.
Engage in a turn-based battle system that eases players into combat, featuring mechanics simple enough for novices but with enough depth to satisfy long-time fans.
DQ XI features tons of side-quests and mini-games, providing enough content to keep you playing for well over 100 hours.
Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy). One-time license fee for play on account’s designated primary PS4™ system and other PS4™ systems when signed in with that account.
DRAGON QUEST, ECHOES OF AN ELUSIVE AGE, SQUARE ENIX and the SQUARE ENIX logo are trademarks or registered trademarks of Square Enix Holdings Co., Ltd."
Samorost 2,"PC, Linux, macOS","Adventure, Casual, Family, Indie","Dec 8, 2005",Amanita Design, Not rated,80,"Samorost was a tiny flash game made by a web-design agency Amanita Design, and the sequel was highly requested by the players who were interested in surreal visuals. So Samorost 2 brings back the Gnome, who now has to bring his kidnapped dog back home after completing different environmental puzzles. The game’s story takes the player through the mix of locations that combine futuristic designs and imagery with organic nature settings.
As a point and click adventure, Samorost 2 takes the description literally, and there will be no active inventory, and all of the puzzles will be solved by the items presented on the screen, where players will have to click on the objects in the correct order or with the precise timing to solve a puzzle and move to the next screen. This installment of the series includes an original ambient soundtrack by Tomas Dvorak, who received the Original Sound award at the Flashforward Film Festival 2006."
Streamline,PC,"Action, Strategy, Casual, Indie","Aug 21, 2015",Frostcloud Studios, Not rated,,Streamline is an experimental game that combines platforming and survival elements. You run on a platform that falls apart and you need to stay alive as long as you can. The world around consists of cubes; you have a physics-based ability to return them to their place before everything is destroyed.
A Short Hike,"PC, macOS, Linux, Nintendo Switch","Adventure, Indie","Jul 29, 2019",adamgryu,0+ Everyone,84,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park.
Follow the marked trails or explore the backcountry as you make your way to the summit.
Along the way, meet other hikers, discover hidden treasures, and take in the world around you."
Crash Team Racing Nitro-Fueled,"PlayStation 4, Xbox One, Nintendo Switch","Action, Racing, Family","Jun 21, 2019",Activision Blizzard,10+ Everyone 10+,82,"Crash is back in the driver’s seat! Get ready to go fur-throttle with Crash™ Team Racing Nitro-Fueled. It’s the authentic CTR experience plus a whole lot more, now fully-remastered and revved up to the max:"
Nex Machina,"PlayStation 4, PC","Action, Indie","Jun 19, 2017",Housemarque, Not rated,89,Nex Machina is a sci-fi game about fighting robots and saving humans. It is a spiritual successor to the 1982 arcade Robotron 2084. The original game's designer Eugene Jarvis consulted Nex Machina creators.
Armor of Heroes,PC,Action,"Oct 15, 2020",SEGA, Not rated,80,
Broken Sword 2 - The Smoking Mirror (Remastered),"Android, Linux, macOS, PC, iOS","Adventure, Puzzle","Dec 2, 2009",Kalypso Media, Not rated,83,"Direct sequel in story, genre and art style, Broken Sword 2 – the Smoking Mirror: Remastered is a remake of 2010 release that takes place 6 months after the events of the first game, where George Stobbart and Nicole Collard visit an archeologist to gather information on the mystery Mayan stone Nicole found while working on a news story. But they’re ambushed and separated, and now George has to escape the burning building, reunite with Nicole and uncover the secrets of a Mayan stone, leading to a lost temple.
The game is played like any other point-and-click adventure, where the player controls the characters and interacts with the environments through the mouse clicks, or in case of a PlayStation release through the controller. The game has over 60 characters player can interact with unique voice lines regarding every game item players can get in their inventory. Remastered edition replaced pixelated backgrounds with more detailed ones, fixed the quality of FMV’s and general audio and added fully animated facial features."
BATTLETECH,"PC, Linux, macOS","Action, Adventure, Strategy","Apr 23, 2018",Paradox Interactive, Not rated,78,From original BattleTech/MechWarrior creator Jordan Weisman and the developers of the award-winning Shadowrun Returns series comes the next-generation of turn-based tactical ‘Mech combat.
inFamous,PlayStation 3,Action,"May 26, 2009",Sony Computer Entertainment,13+ Teen,85,"This game lets you become a superhero in an open-world soapbox and features comic-book stylized cutscenes to underscore the superhero theme. The game is set in a fictional megapolis called the Empire City. The player assumes the role of Cole MacGrath, a regular delivery man who miraculously survived a deadly explosion that destroyed much of the city. This trauma somehow gave Cole a superhuman power to control electricity. His powers can be used to move, attack and defend, and over the course of the game, he will discover a lot of new abilities. The powers are not infinite, and Cole needs to be charged with more electricity. It depends on you if MacGrath will use them for the greater good or becomes a villain. Every choice he makes in the game will affect his Karma, making him more Good or Evil. The central plot, however, does not depend on your Karma meter and only varies based on certain player actions. Because of his high electric charge, the protagonist cannot drive vehicles. MacGrath moves around the town on feet, often climbing up the roofs and using his parkour skills."
GRID Autosport,"PlayStation 3, iOS, PC, macOS, Linux, Xbox 360, Android, Nintendo Switch","Sports, Racing","Jun 24, 2014",Feral Interactive, Not rated,78,"Grid Autosport is a racing game with a variety of in-game maps. It is the ninth part of the TOCA series, which follow a wide assortment of motorsports with a center on touring racing."
LEGO Worlds,"Nintendo Switch, PlayStation 4, Xbox One, PC",Adventure,"Mar 7, 2017",Warner Bros. Interactive,10+ Everyone 10+,92,"EXPLORE. DISCOVER. CREATE. TOGETHER. LEGO® Worlds is an open environment of procedurally-generated Worlds made entirely of LEGO bricks which you can freely manipulate and dynamically populate with LEGO models. Create anything you can imagine one brick at a time, or use large-scale landscaping tools to create vast mountain ranges and dot your world with tropical islands. Drop in prefabricated structures to build and customize any world to your liking. Explore using helicopters, dragons, motorbikes or even gorillas and unlock treasures that enhance your gameplay. Watch your creations come to life through characters and creatures that interact with you and each other in unexpected ways. In LEGO Worlds, anything is possible!
http://www.warnerbros.com/privacy/policy.html"
Space Rangers HD: A War Apart,PC,"Adventure, RPG, Strategy, Simulation","Mar 15, 2013",1C-SoftClub, Not rated,81,"A remastered version of the classic space strategy in real time from three studios: SNK Games, Katauri Interactive and original developers from Elemental Games. The first game of the series was released in 2002 but almost did not find fans outside of its region of release. The gameplay is often compared to games like Elite and Star Control 2. Space Rangers HD: A War Apart is an improved version of the second part of the Space Rangers, which includes all the additional content for the game, and a completely new one. The publisher of the game was the company 1C."
